variant,x,cycles_per_iter,misses_per_iter
random,0.0,1.8000,0.00009
random,0.0,1.7994,0.00006
random,0.0,1.7990,0.00003
random,0.0,1.7986,0.00003
random,0.0,1.7984,0.00003
random,0.0,1.7982,0.00003
random,0.0,1.7983,0.00003
random,0.0,1.7985,0.00003
random,0.0,1.7987,0.00003
random,0.0,1.7987,0.00003
random,0.0,1.7984,0.00003
random,0.0,1.7982,0.00003
random,0.0,1.7983,0.00003
random,0.0,1.7985,0.00003
random,0.0,1.7987,0.00003
random,0.0,1.7986,0.00003
random,0.0,1.7985,0.00003
random,0.0,1.7982,0.00003
random,0.0,1.7983,0.00003
random,0.0,1.7985,0.00003
random,0.0,1.7987,0.00003
random,0.0,1.7987,0.00003
random,0.0,1.7985,0.00003
random,0.0,1.7982,0.00003
random,0.0,1.7983,0.00003
random,0.0,1.7985,0.00003
random,0.0,1.7987,0.00003
random,0.0,1.7987,0.00003
random,0.0,1.7985,0.00003
random,0.0,1.7983,0.00003
random,0.0,1.7982,0.00003
branchless,0.0,2.8945,0.00008
branchless,0.0,2.8971,0.00003
branchless,0.0,2.8977,0.00003
branchless,0.0,2.8962,0.00003
branchless,0.0,2.8994,0.00003
branchless,0.0,2.8975,0.00003
branchless,0.0,2.8973,0.00003
branchless,0.0,2.8969,0.00003
branchless,0.0,2.8970,0.00003
branchless,0.0,2.8952,0.00003
branchless,0.0,2.8995,0.00003
branchless,0.0,2.8971,0.00003
branchless,0.0,2.8972,0.00003
branchless,0.0,2.8964,0.00003
branchless,0.0,2.8965,0.00003
branchless,0.0,2.8957,0.00003
branchless,0.0,2.9007,0.00003
branchless,0.0,2.8999,0.00003
branchless,0.0,2.8967,0.00003
branchless,0.0,2.8977,0.00003
branchless,0.0,2.8998,0.00003
branchless,0.0,2.8966,0.00003
branchless,0.0,2.8980,0.00003
branchless,0.0,2.8958,0.00003
branchless,0.0,2.8966,0.00003
branchless,0.0,2.8958,0.00003
branchless,0.0,2.8990,0.00003
branchless,0.0,2.9026,0.00003
branchless,0.0,4.9247,0.00003
branchless,0.0,2.8965,0.00003
branchless,0.0,2.8981,0.00003
sorted,0.0,1.7988,0.00005
sorted,0.0,1.7982,0.00003
sorted,0.0,1.7984,0.00003
sorted,0.0,1.7986,0.00003
sorted,0.0,1.7988,0.00003
sorted,0.0,1.7986,0.00003
sorted,0.0,1.7984,0.00003
sorted,0.0,1.7982,0.00003
sorted,0.0,1.7984,0.00003
sorted,0.0,1.7986,0.00003
sorted,0.0,1.7988,0.00003
sorted,0.0,1.7986,0.00003
sorted,0.0,1.7984,0.00003
sorted,0.0,1.7982,0.00003
sorted,0.0,1.7983,0.00003
sorted,0.0,1.7986,0.00003
sorted,0.0,1.7988,0.00003
sorted,0.0,1.7986,0.00003
sorted,0.0,1.7985,0.00003
sorted,0.0,1.7983,0.00003
sorted,0.0,1.7983,0.00003
sorted,0.0,1.7986,0.00003
sorted,0.0,1.7987,0.00003
sorted,0.0,1.7987,0.00003
sorted,0.0,1.7985,0.00003
sorted,0.0,1.7983,0.00003
sorted,0.0,1.7983,0.00003
sorted,0.0,1.7985,0.00003
sorted,0.0,1.7987,0.00003
sorted,0.0,1.7987,0.00003
sorted,0.0,1.7985,0.00003
random,2.0,2.3820,0.02168
random,2.0,2.3800,0.02141
random,2.0,2.3747,0.02119
random,2.0,2.3694,0.02107
random,2.0,2.3689,0.02110
random,2.0,2.3701,0.02113
random,2.0,2.3771,0.02150
random,2.0,2.3672,0.02086
random,2.0,2.3721,0.02129
