reuse_distance,nanoseconds
13,28.169
336,27.582
11,24.648
21,23.474
2,18.193
2,19.366
55,22.888
2,18.779
107,25.235
52,24.648
211,26.409
25,22.301
24,18.779
18,18.193
1,18.779
149,25.822
12423,38.146
8,18.779
1,18.779
357693,339.791
13909,173.710
2165,35.212
1577,24.648
614702,206.574
6,18.193
5,18.193
2,18.193
35573,100.940
10721,39.320
370153,190.729
402,24.061
143883,205.401
59,22.301
4550,90.963
1,18.779
146,24.648
10008,452.468
83,24.061
292,26.996
1071106,291.082
4406,27.582
61872,221.833
12,18.193
107820,149.062
1166298,169.015
24,18.779
7,18.193
6908,39.320
217,25.235
11,18.779
1178,25.822
1,19.366
25605,88.616
1858356,185.447
887180,232.983
395665,194.250
5,18.779
2066703,246.481
6711,95.658
53829,219.485
364779,248.241
1,18.779
3693,29.343
10,18.193
5863,205.401
5555,140.846
1508,27.582
27,18.779
462089,225.354
442047,291.082
14,18.779
970,26.996
13041,134.978
185,26.996
49,18.193
7253,31.104
4590,27.582
383,25.822
23,18.779
998823,178.992
4531,31.104
28156,329.228
1441569,393.196
55,18.779
24950,37.559
609842,305.754
10,18.779
125268,444.252
600987,841.556
70058,174.297
3215,31.104
104536,156.105
90269,220.072
5,18.193
1079025,282.866
252,26.409
31458,167.255
776,26.996
7062,25.235
6931,29.930
163,115.024
100936,310.448
3,18.779
1,18.779
8,18.779
160,25.235
7381,29.343
41045,103.874
61402,187.795
176370,461.271
19548,107.395
132,24.061
2367,28.169
13437,29.930
7340,372.069
28,18.779
3907,29.343
76626,1027.003
1,18.193
1119,26.409
2559,26.996
5411,26.409
55,18.779
109,18.779
30639,96.832
28,18.193
27808,32.864
459,25.235
22297,138.499
93,19.366
1,18.193
1,19.366
4,18.193
2,18.193
1,18.779
40,19.366
781,24.648
13070,25.235
1654322,338.031
21,18.779
1099,233.570
15421,37.559
3034,100.940
1,19.366
98,19.366
10,18.193
34,18.779
386124,486.506
813832,220.659
58,18.779
206,22.301
993,25.822
318410,324.533
11508,30.517
109454,203.053
4651,27.582
330542,288.148
1451,26.996
1,18.193
3514,31.690
135919,232.396
1,18.779
6114,26.409
612633,173.123
6,19.366
10827,31.104
11,18.779
5897,25.235
67,18.779
8,18.193
134880,140.259
74174,104.461
143228,241.786
195,22.888
92062,157.865
6,18.193
2072,29.343
1,18.779
1,18.779
804,26.996
90,18.779
256,26.996
798996,256.457
13,18.779
1,19.366
41701,161.973
63799,194.837
464721,192.490
13,18.193
65045,172.537
778,25.235
1,18.193
100741,240.025
2,18.779
1145927,171.363
760687,154.344
24587,81.573
4,18.779
2139,29.930
1659153,149.649
59,18.193
